Date,People,Temperature,Day_type,Water_usage
01-01-2024,4,30,Weekday,450
02-01-2024,3,28,Weekday,380
03-01-2024,5,32,Weekday,520
04-01-2024,2,27,Weekday,300
05-01-2024,4,31,Weekday,470
06-01-2024,6,33,Weekend,610
07-01-2024,5,34,Weekend,620
08-01-2024,3,29,Weekday,400
09-01-2024,4,30,Weekday,455
10-01-2024,2,26,Weekday,290
11-01-2024,5,31,Weekday,510
12-01-2024,3,28,Weekday,385
13-01-2024,6,34,Weekend,640
14-01-2024,4,32,Weekend,480
15-01-2024,5,33,Weekday,540
16-01-2024,3,27,Weekday,370
17-01-2024,2,26,Weekday,285
18-01-2024,4,30,Weekday,460
19-01-2024,5,31,Weekday,520
20-01-2024,6,35,Weekend,660
21-01-2024,4,33,Weekend,500
22-01-2024,3,29,Weekday,395
23-01-2024,5,32,Weekday,530
24-01-2024,2,27,Weekday,305
25-01-2024,4,31,Weekday,470
26-01-2024,3,28,Weekday,390
27-01-2024,6,34,Weekend,650
28-01-2024,5,33,Weekend,610
29-01-2024,4,30,Weekday,455
30-01-2024,3,29,Weekday,400
31-01-2024,4,30,Weekday,460
01-02-2024,3,29,Weekday,395
02-02-2024,5,32,Weekday,530
03-02-2024,2,27,Weekday,305
04-02-2024,4,31,Weekday,470
05-02-2024,6,33,Weekend,620
06-02-2024,5,34,Weekend,640
07-02-2024,3,28,Weekday,390
08-02-2024,4,30,Weekday,455
09-02-2024,2,26,Weekday,295
10-02-2024,5,31,Weekend,520
11-02-2024,3,28,Weekend,400
12-02-2024,6,34,Weekday,650
13-02-2024,4,32,Weekday,485
14-02-2024,5,33,Weekday,550
15-02-2024,3,27,Weekday,375
16-02-2024,2,26,Weekday,290
17-02-2024,4,30,Weekend,470
18-02-2024,5,31,Weekend,525
19-02-2024,6,35,Weekday,670
20-02-2024,4,33,Weekday,510
21-02-2024,3,29,Weekday,400
22-02-2024,5,32,Weekday,535
23-02-2024,2,27,Weekday,310
24-02-2024,4,31,Weekend,480
25-02-2024,3,28,Weekend,395
26-02-2024,6,34,Weekday,660
27-02-2024,5,33,Weekday,620
28-02-2024,4,30,Weekday,460
29-02-2024,3,29,Weekday,410
01-03-2024,5,32,Weekday,540
02-03-2024,4,31,Weekend,500
03-03-2024,2,27,Weekend,310
04-03-2024,3,28,Weekday,380
05-03-2024,6,34,Weekday,670
06-03-2024,4,30,Weekday,460
07-03-2024,5,33,Weekday,560
08-03-2024,3,29,Weekday,410
09-03-2024,2,26,Weekend,300
10-03-2024,4,30,Weekend,470
11-03-2024,5,31,Weekday,525
12-03-2024,6,35,Weekday,680
13-03-2024,4,33,Weekday,520
14-03-2024,3,28,Weekday,400
15-03-2024,5,32,Weekday,540
16-03-2024,2,27,Weekend,315
17-03-2024,4,31,Weekend,480
18-03-2024,3,29,Weekday,405
19-03-2024,6,34,Weekday,660
20-03-2024,5,33,Weekday,630
21-03-2024,4,30,Weekday,470
22-03-2024,3,28,Weekday,400
23-03-2024,5,32,Weekend,540
24-03-2024,4,31,Weekend,500
25-03-2024,2,27,Weekday,320
26-03-2024,3,29,Weekday,390
27-03-2024,6,34,Weekday,670
28-03-2024,4,30,Weekday,470
29-03-2024,5,33,Weekday,560
30-03-2024,3,28,Weekend,420
31-03-2024,2,26,Weekend,305
01-04-2024,4,30,Weekday,475
02-04-2024,5,31,Weekday,530
03-04-2024,6,35,Weekday,690
04-04-2024,4,33,Weekday,520
05-04-2024,3,28,Weekday,405
06-04-2024,5,32,Weekend,545
07-04-2024,2,27,Weekend,320
08-04-2024,3,32,Weekend,430
,,,,
